Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Coupled_PID_v1.csv,
Starttime of export,132660227013120000,Thursday, May 20, 2021,18:18:21.312
Endtime of export,132660227842843821,Thursday, May 20, 2021,18:19:44.284


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


2150,-0.033265173435211182,2150,0.41596728563308716,2150,13.555658340454102,2150,18.57380485534668,2150,1,2150,3
2200,-0.016479995101690292,2200,0.43183690309524536,2200,13.555948257446289,2200,18.573642730712891,2200,1,2200,3
2250,-0.010986663401126862,2250,0.46937468647956848,2250,13.556039810180664,2250,18.573591232299805,2250,1,2250,3
2300,-0.0033570360392332077,2300,0.48982205986976624,2300,13.556070327758789,2300,18.573574066162109,2300,1,2300,3
2350,0.013122959062457085,2350,0.48829615116119385,2350,13.333654403686523,2350,18.698637008666992,2350,1,2350,3
2400,0.036927394568920136,2400,0.50843840837478638,2400,13.355649948120117,2400,18.686271667480469,2400,1,2400,3
2450,0.059511095285415649,2450,0.50660723447799683,2450,13.492710113525391,2450,18.609199523925781,2450,1,2450,3
2500,0.073244422674179077,2500,0.51423686742782593,2500,13.536046028137207,2500,18.5848331451416,2500,1,2500,3
2550,0.090334787964820862,2550,0.5236976146697998,2550,13.302227020263672,2550,18.716310501098633,2550,1,2550,3
2600,0.11749625951051712,2600,0.54658651351928711,2600,13.475818634033203,2600,18.618698120117188,2600,1,2600,3
2650,0.11322367191314697,2650,0.58778649568557739,2650,13.530704498291016,2650,18.587837219238281,2650,1,2650,3
2700,0.12482070177793503,2700,0.57985168695449829,2700,13.261260986328125,2700,18.739345550537109,2700,1,2700,3
2750,0.16357921063899994,2750,0.59602648019790649,2750,13.2749662399292,2750,18.731637954711914,2750,1,2750,3
2800,0.18677327036857605,2800,0.60884428024291992,2800,13.467199325561523,2800,18.623546600341797,2800,1,2800,3
2850,0.15961182117462158,2850,0.65614795684814453,2850,13.527980804443359,2850,18.589366912841797,2850,1,2850,3
2900,0.19287697970867157,2900,0.650959849357605,2900,13.547198295593262,2900,18.578561782836914,2900,1,2900,3
2950,0.18646809458732605,2950,0.69185459613800049,2950,13.553275108337402,2950,18.575145721435547,2950,1,2950,3
3000,0.19592882692813873,3000,0.68727684020996094,3000,13.236285209655762,3000,18.753389358520508,3000,1,3000,3
3050,0.24445326626300812,3050,0.69856870174407959,3050,13.362226486206055,3050,18.682573318481445,3050,1,3050,3
3100,0.25910216569900513,3100,0.711691677570343,3100,13.145768165588379,3100,18.804286956787109,3100,1,3100,3
3150,0.3018280565738678,3150,0.71749019622802734,3150,13.426348686218262,3150,18.646516799926758,3150,1,3150,3
3200,0.29480880498886108,3200,0.7361065149307251,3200,13.417840003967285,3200,18.651300430297852,3200,1,3200,3
3250,0.32624286413192749,3250,0.75624871253967285,3250,13.512373924255371,3250,18.59814453125,3250,1,3250,3
3300,0.31373026967048645,3300,0.7617419958114624,3300,13.542263031005859,3300,18.581336975097656,3300,1,3300,3
3350,0.33783990144729614,3350,0.772728681564331,3350,13.551712989807129,3350,18.576023101806641,3350,1,3350,3
3400,0.32746359705924988,3400,0.79561758041381836,3400,13.494509696960449,3400,18.608188629150391,3400,1,3400,3
3450,0.36652728915214539,3450,0.82247382402420044,3450,13.536615371704102,3450,18.584512710571289,3450,1,3450,3
3500,0.38178655505180359,3500,0.82186347246170044,3500,13.526819229125977,3500,18.590021133422852,3500,1,3500,3
3550,0.39796137809753418,3550,0.845057487487793,3550,13.546831130981445,3550,18.578769683837891,3550,1,3550,3
3600,0.40528580546379089,3600,0.84933012723922729,3600,13.485102653503418,3600,18.613479614257812,3600,1,3600,3
3650,0.430616170167923,3650,0.87527090311050415,3650,13.533639907836914,3650,18.586185455322266,3650,1,3650,3
3700,0.43000578880310059,3700,0.89754939079284668,3700,13.548986434936523,3700,18.577556610107422,3700,1,3700,3
3750,0.45106357336044312,3750,0.90792566537857056,3750,13.553838729858398,3750,18.5748291015625,3750,1,3750,3
3800,0.46296578645706177,3800,0.91586047410964966,3800,13.555374145507813,3800,18.573965072631836,3800,1,3800,3
3850,0.45625174045562744,3850,0.93050932884216309,3850,13.555858612060547,3850,18.573692321777344,3850,1,3850,3
3900,0.45197910070419312,3900,0.95370346307754517,3900,13.433193206787109,3900,18.642667770385742,3900,1,3900,3
3950,0.4843287467956543,3950,0.97476118803024292,3950,13.413225173950195,3950,18.653896331787109,3950,1,3950,3
4000,0.50141912698745728,4000,0.98727375268936157,4000,13.51091480255127,4000,18.598964691162109,4000,1,4000,3
4050,0.503860592842102,4050,1.000091552734375,4050,13.443710327148438,4050,18.636753082275391,4050,1,4050,3
4100,0.52613908052444458,4100,1.0202337503433228,4100,13.208316802978516,4100,18.769115447998047,4100,1,4100,3
4150,0.55787837505340576,4150,1.034577488899231,4150,13.373620986938477,4150,18.676164627075195,4150,1,4150,3
4200,0.56428724527359009,4200,1.0483107566833496,4200,13.172491073608398,4200,18.789260864257812,4200,1,4200,3
4250,0.59816277027130127,4250,1.0672322511672974,4250,13.228080749511719,4250,18.758003234863281,4250,1,4250,3
4300,0.61220133304595947,4300,1.0861537456512451,4300,13.452375411987305,4300,18.631881713867188,4300,1,4300,3
4350,0.61464279890060425,4350,1.1069062948226929,4350,13.420148849487305,4350,18.650003433227539,4350,1,4350,3
4400,0.63264870643615723,4400,1.1172826290130615,4400,13.368596076965332,4400,18.678991317749023,4400,1,4400,3
4450,0.651265025138855,4450,1.1310158967971802,4450,13.151947021484375,4450,18.800811767578125,4450,1,4450,3
4500,0.68056279420852661,4500,1.1450544595718384,4500,13.169363021850586,4500,18.791019439697266,4500,1,4500,3
4550,0.69429606199264526,4550,1.1590930223464966,4550,13.33259391784668,4550,18.699234008789062,4550,1,4550,3
4600,0.70131534337997437,4600,1.1691640615463257,4600,13.485420227050781,4600,18.613300323486328,4600,1,4600,3
4650,0.70009464025497437,4650,1.1877803802490234,4650,13.533740043640137,4650,18.586130142211914,4650,1,4650,3
4700,0.70955538749694824,4700,1.2073122262954712,4700,13.341283798217773,4700,18.69434928894043,4700,1,4700,3
4750,0.73244422674179077,4750,1.2189092636108398,4750,13.132099151611328,4750,18.811973571777344,4750,1,4750,3
4800,0.75563836097717285,4800,1.2363047599792481,4800,12.9979248046875,4800,18.887418746948242,4800,1,4800,3
4850,0.77547538280487061,4850,1.2530900239944458,4850,12.802736282348633,4850,18.997173309326172,4850,1,4850,3
4900,0.80080568790435791,4900,1.2738425731658936,4900,12.962084770202637,4900,18.907571792602539,4900,1,4900,3
4950,0.80355232954025269,4950,1.2826930284500122,4950,12.800928115844727,4950,18.998191833496094,4950,1,4950,3
5000,0.82918792963027954,5000,1.2967314720153809,5000,12.431669235229492,5000,19.20582389831543,5000,1,5000,3
5050,0.86397898197174072,5050,1.3119907379150391,5050,12.860734939575195,5050,18.964561462402344,5050,1,5050,3
5100,0.84719383716583252,5100,1.3254188299179077,5100,13.021230697631836,5100,18.874313354492188,5100,1,5100,3
5150,0.85360276699066162,5150,1.3437299728393555,5150,12.765480041503906,5150,19.018121719360352,5150,1,5150,3
5200,0.8804590106010437,5200,1.3577685356140137,5200,12.131729125976563,5200,19.374481201171875,5200,1,5200,3
