Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Explicit_18regions.csv,
Starttime of export,132661033789190000,Friday, May 21, 2021,16:42:58.919
Endtime of export,132661034946622983,Friday, May 21, 2021,16:44:54.662


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


790,11.920266151428223,790,13.950859069824219,790,4.2500123977661133,790,9.080744743347168,790,10,790,14
800,11.898324012756348,800,13.952854156494141,800,4.2500123977661133,800,9.0799160003662109,800,10,800,14
810,11.906302452087402,810,13.956843376159668,810,4.2500123977661133,810,9.07904052734375,810,10,810,14
820,11.898324012756348,820,13.962828636169434,820,4.2500123977661133,820,9.07808780670166,820,10,820,14
830,11.886355400085449,830,13.948864936828613,830,4.2500123977661133,830,9.0772113800048828,830,10,830,14
840,11.892340660095215,840,13.942880630493164,840,4.2500123977661133,840,9.0764303207397461,840,10,840,14
850,11.860424995422363,850,13.942880630493164,850,4.2500123977661133,850,9.07571792602539,850,10,850,14
860,11.876382827758789,860,13.942880630493164,860,4.2500123977661133,860,9.0750436782836914,860,10,860,14
870,11.898324012756348,870,13.950859069824219,870,4.2500123977661133,870,9.0743160247802734,870,10,870,14
880,11.868403434753418,880,13.946869850158691,880,4.2500123977661133,880,9.0736007690429688,880,10,880,14
890,11.884361267089844,890,13.942880630493164,890,4.2500123977661133,890,9.0729217529296875,890,10,890,14
900,11.880372047424316,900,13.950859069824219,900,4.2500123977661133,900,9.0721988677978516,900,10,900,14
910,11.874387741088867,910,13.950859069824219,910,4.2500123977661133,910,9.0714511871337891,910,10,910,14
920,11.896329879760742,920,13.962828636169434,920,4.2500123977661133,920,9.07058048248291,920,10,920,14
930,11.87039852142334,930,13.968812942504883,930,4.2500123977661133,930,9.0695953369140625,930,10,930,14
940,11.874387741088867,940,13.954848289489746,940,4.2500123977661133,940,9.0686569213867188,940,10,940,14
950,11.892340660095215,950,13.952854156494141,950,4.2500123977661133,950,9.0677576065063477,950,10,950,14
960,11.874387741088867,960,13.950859069824219,960,4.2500123977661133,960,9.06690502166748,960,10,960,14
970,11.886355400085449,970,13.952854156494141,970,4.2500123977661133,970,9.0660600662231445,970,10,970,14
980,11.876382827758789,980,13.966817855834961,980,4.2500123977661133,980,9.0651073455810547,980,10,980,14
990,11.866409301757813,990,13.952854156494141,990,4.2500123977661133,990,9.0642108917236328,990,10,990,14
1000,11.892340660095215,1000,13.946869850158691,1000,4.2500123977661133,1000,9.06338882446289,1000,10,1000,14
1010,11.866409301757813,1010,13.956843376159668,1010,4.2500123977661133,1010,9.0625381469726562,1010,10,1010,14
1020,11.866409301757813,1020,13.956843376159668,1020,4.2500123977661133,1020,9.0616703033447266,1020,10,1020,14
1030,11.87039852142334,1030,13.960832595825195,1030,4.2500123977661133,1030,9.0607585906982422,1030,10,1030,14
1040,11.842473030090332,1040,13.952854156494141,1040,4.2500123977661133,1040,9.0598983764648438,1040,10,1040,14
1050,11.868403434753418,1050,13.936897277832031,1050,4.2500123977661133,1050,9.0591917037963867,1050,10,1050,14
1060,11.868403434753418,1060,13.936897277832031,1060,4.2500123977661133,1060,9.0585794448852539,1060,10,1060,14
1070,11.866409301757813,1070,13.932908058166504,1070,4.2500123977661133,1070,9.05805778503418,1070,10,1070,14
1080,11.892340660095215,1080,13.942880630493164,1080,4.2500123977661133,1080,9.0574970245361328,1080,10,1080,14
